x,T,CH4,O2,H2O,CO,CO2,N2
0.009314381,361.2809684,0.927424018,0,0.008801685,7.00E-08,0.011002679,0.052771548
0.009347826,358.3485912,0.930968597,0,0.008381856,5.22E-08,0.010454345,0.05019515
0.009381271,355.409325,0.934512388,0,0.00796028,3.86E-08,0.00990814,0.047619153
0.009414716,352.463356,0.938055467,0,0.007537128,2.84E-08,0.009363859,0.045043518
0.009448161,349.510848,0.941597904,0,0.007112556,2.07E-08,0.00882131,0.042468209
0.009481605,346.5519698,0.945139766,0,0.006686711,1.49E-08,0.008280314,0.039893194
0.00951505,343.5868896,0.948681111,0,0.006259729,1.07E-08,0.007740706,0.037318443
0.009548495,340.6157628,0.952221997,0,0.005831734,7.59E-09,0.007202334,0.034743927
0.00958194,337.6387574,0.955762475,0,0.005402842,5.33E-09,0.006665057,0.03216962
0.009615385,334.656029,0.959302591,0,0.004973158,3.71E-09,0.006128747,0.0295955
0.009648829,331.6677327,0.962842389,0,0.004542778,2.55E-09,0.005593287,0.027021543
0.009682274,328.6740413,0.966381907,0,0.004111789,1.74E-09,0.005058571,0.024447731
0.009715719,325.6751098,0.969921181,0,0.00368027,1.17E-09,0.004524502,0.021874047
0.009749164,322.6711114,0.973460241,0,0.003248292,7.74E-10,0.003990993,0.019300474
0.009782609,319.6622145,0.976999116,0,0.002815918,5.05E-10,0.003457967,0.016726998
0.009816054,316.6486051,0.980537831,0,0.002383206,3.24E-10,0.002925354,0.014153608
0.009849498,313.6304739,0.984076408,0,0.001950209,2.04E-10,0.00239309,0.011580293
0.009882943,310.6080116,0.987614864,0,0.001516973,1.26E-10,0.001861117,0.009007045
0.009916388,307.5814398,0.991153215,0,0.001083546,4.79E-14,0.001329379,0.00643386
0.009949833,304.5509846,0.994691465,0,6.50E-04,1.79E-17,7.98E-04,0.003860746
0.009983278,301.5169575,0.998229562,0,2.16E-04,6.51E-21,2.66E-04,0.001287784
0.01,300,1,0,0,0,0,0
